"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"narpcnut  ","P",01/08/2009 10:27,1,1,1         ,1         ,"{CHB}",0.017,<1> (CHB) ,0.0050,<1> (CHB) ,0.0020,<1> (CHB) ,0.044,<1> (CHB) ,0.046,<1> (CHB) ,0.29,<5> (CSM) ,
"narpcnut  ","P",01/08/2009 10:30,1,1,1         ,2         ,"{CHB}",0.017,<1> (CHB) ,7.0E-4,<-4> [SBL] (CHB) ,0.0020,<1> (CHB) ,0.048,<1> (CHB) ,0.05,<1> (CHB) ,2.38,<5> (CSM) ,
"narpcnut  ","P",02/05/2009 9:57,1,1,1         ,1         ,"{CHB}",0.01,<1> (CHB) ,0.0010,<1> (CHB) ,0.0060,<1> (CHB) ,0.101,<1> (CHB) ,0.107,<1> (CHB) ,1.8,<5> (CSM) ,
"narpcnut  ","P",02/05/2009 10:00,1,1,1         ,2         ,"{CHB}",0.0080,<1> (CHB) ,0.0010,<1> (CHB) ,0.0060,<1> (CHB) ,0.091,<1> (CHB) ,0.097,<1> (CHB) ,1.9,<5> (CSM) ,
"narpcnut  ","P",03/09/2009 10:43,1,1,1         ,1         ,"{CHB}",0.0030,<1> (CHB) ,0.035,<1> (CHB) ,0.0040,<1> (CHB) ,0.071,<1> (CHB) ,0.075,<1> (CHB) ,7.4,<1> [SRD] (CSM) ,
"narpcnut  ","P",03/09/2009 10:46,1,1,1         ,2         ,"{CHB}",0.0040,<1> (CHB) ,0.036,<1> (CHB) ,0.0060,<1> (CHB) ,0.073,<1> (CHB) ,0.079,<1> (CHB) ,28.26,<1> [SRD] (CSM) ,
"narpcnut  ","P",04/07/2009 10:57,1,1,1         ,1         ,"{CHB}",0.0040,<1> (CHB) ,0.0060,<1> (CHB) ,2.8E-4,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0010,<1> (CHB) ,9.51,<5> (CSM) ,
"narpcnut  ","P",04/07/2009 11:00,1,1,1         ,2         ,"{CHB}",0.01,<1> (CHB) ,0.014,<1> (CHB) ,2.8E-4,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0010,<1> (CHB) ,3.72,<5> (CSM) ,
"narpcnut  ","P",05/06/2009 10:17,1,1,1         ,1         ,"{CHB}",0.0040,<1> (CHB) ,0.01,<1> (CHB) ,2.8E-4,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0020,<1> (CHB) ,5.81,<5> (CSM) ,
"narpcnut  ","P",05/06/2009 10:20,1,1,1         ,2         ,"{CHB}",0.0030,<1> (CHB) ,0.014,<1> (CHB) ,2.8E-4,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0020,<1> (CHB) ,2.88,<5> (CSM) ,
