"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"narpcnut  ","P",01/15/2019 9:15,0,1,2         ,1         ,"",0.0191,<0>  ,0.0101,<0>  ,0.0018,<0>  ,0.1788,<0>  ,0.1806,<0>  ,3.3,<0>  ,
"narpcnut  ","P",01/15/2019 9:43,0,1,1         ,1         ,"",0.0223,<0>  ,0.0082,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1902,<0>  ,4.18,<0>  ,
"narpcnut  ","P",01/15/2019 9:45,0,1,1         ,2         ,"",0.0207,<0>  ,0.0069,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.185,<0>  ,3.9,<0>  ,
"narpcnut  ","P",01/15/2019 11:30,0,1,2         ,1         ,"",0.0151,<0>  ,0.0088,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1232,<0>  ,3.34,<0>  ,
"narpcnut  ","P",01/15/2019 13:45,0,1,2         ,1         ,"",0.0194,<0>  ,0.016,<0>  ,0.0019,<0>  ,0.1782,<0>  ,0.1801,<0>  ,2.78,<0>  ,
"narpcnut  ","P",01/15/2019 16:00,0,1,2         ,1         ,"",0.0191,<0>  ,0.0062,<-4> [SBL] ,0.0019,<0>  ,0.1733,<0>  ,0.1752,<0>  ,3.57,<0>  ,
"narpcnut  ","P",01/15/2019 18:15,0,1,2         ,1         ,"",0.0192,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.174,<0>  ,3.7,<0>  ,
"narpcnut  ","P",01/15/2019 20:30,0,1,2         ,1         ,"",0.0198,<0>  ,0.0080,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1644,<0>  ,2.0,<0>  ,
"narpcnut  ","P",01/15/2019 22:45,0,1,2         ,1         ,"",0.0179,<0>  ,0.0070,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1635,<0>  ,4.12,<0>  ,
"narpcnut  ","P",01/16/2019 1:00,0,1,2         ,1         ,"",0.0173,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1376,<0>  ,3.78,<0>  ,
"narpcnut  ","P",01/16/2019 3:15,0,1,2         ,1         ,"",0.0187,<0>  ,0.0083,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.167,<0>  ,3.13,<0>  ,
"narpcnut  ","P",01/16/2019 5:30,0,1,2         ,1         ,"",0.0187,<0>  ,0.0066,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1696,<0>  ,4.34,<0>  ,
"narpcnut  ","P",01/16/2019 7:45,0,1,2         ,1         ,"",0.019,<0>  ,0.0066,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1746,<0>  ,4.37,<0>  ,
"narpcnut  ","P",01/16/2019 10:00,0,1,2         ,1         ,"",0.0212,<0>  ,0.0152,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.1617,<0>  ,2.64,<0>  ,
"narpcnut  ","P",02/04/2019 11:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0183,<0>  ,32.41,<0>  ,
"narpcnut  ","P",02/04/2019 11:18,0,1,1         ,1         ,"",0.0016,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,28.16,<0>  ,
"narpcnut  ","P",02/04/2019 11:20,0,1,1         ,2         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,28.79,<0>  ,
"narpcnut  ","P",02/04/2019 13:15,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,32.25,<0>  ,
"narpcnut  ","P",02/04/2019 15:30,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,33.35,<0>  ,
"narpcnut  ","P",02/04/2019 17:45,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,33.67,<0>  ,
"narpcnut  ","P",02/04/2019 20:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,28.16,<0>  ,
"narpcnut  ","P",02/04/2019 22:15,0,1,2         ,1         ,"",0.0018,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,39.81,<0>  ,
"narpcnut  ","P",02/05/2019 0:30,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,39.18,<0>  ,
"narpcnut  ","P",02/05/2019 2:45,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,41.54,<0>  ,
"narpcnut  ","P",02/05/2019 5:00,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,34.3,<0>  ,
"narpcnut  ","P",02/05/2019 7:15,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,24.54,<0>  ,
"narpcnut  ","P",02/05/2019 9:30,0,1,2         ,1         ,"",0.0016,<-4> [SBL] ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0109,<0>  ,34.77,<0>  ,
