"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"wqbmpnut  ","P",01/04/2017 8:30,0,1,1         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",01/04/2017 8:35,0,1,1         ,2         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",02/06/2017 10:57,0,1,1         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",02/06/2017 11:05,0,1,1         ,2         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",03/06/2017 9:20,0,1,1         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",03/06/2017 9:25,0,1,1         ,2         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",04/18/2017 8:24,0,1,1         ,1         ,"",0.0055,<0>  ,0.0116,<0>  ,"","","","",0.0167,<1> (CHB) ,2.4,<0>  ,
"wqbmpnut  ","P",04/18/2017 8:28,0,1,1         ,2         ,"",0.0055,<0>  ,0.0044,<0>  ,"","","","",0.0173,<1> (CHB) ,2.6,<0>  ,
"wqbmpnut  ","P",05/17/2017 7:56,0,1,1         ,1         ,"",0.0032,<-4> [SBL] ,0.012,<0>  ,"","","","",0.0060,<0>  ,1.6,<0>  ,
"wqbmpnut  ","P",05/17/2017 7:59,0,1,1         ,2         ,"",0.0032,<-4> [SBL] ,0.0097,<0>  ,"","","","",0.0084,<0>  ,1.6,<0>  ,
"wqbmpnut  ","P",06/20/2017 11:29,0,1,1         ,1         ,"",0.0092,<0>  ,0.0381,<0>  ,"","","","",0.0053,<1> (CHB) ,5.7,<0>  ,
"wqbmpnut  ","P",06/20/2017 11:33,0,1,1         ,2         ,"",0.0092,<0>  ,0.0394,<0>  ,"","","","",0.0046,<1> (CHB) ,6.1,<0>  ,
"wqbmpnut  ","P",07/17/2017 9:16,0,1,1         ,1         ,"",0.0036,<0>  ,0.0128,<0>  ,"","","","",0.0075,<1> [SRD] ,14.5,<0>  ,
"wqbmpnut  ","P",07/17/2017 9:19,0,1,1         ,2         ,"",0.0044,<0>  ,0.0081,<0>  ,"","","","",0.0236,<1> [SRD] ,13.7,<0>  ,
"wqbmpnut  ","P",08/02/2017 11:08,0,1,1         ,1         ,"",0.0032,<-4> [SBL] ,0.0092,<0>  ,"","","","",0.0034,<0>  ,6.7,<0>  ,
"wqbmpnut  ","P",08/02/2017 11:12,0,1,1         ,2         ,"",0.0032,<-4> [SBL] ,0.0038,<0>  ,"","","","",0.0018,<0>  ,6.5,<0>  ,
"wqbmpnut  ","P",09/25/2017 6:40,0,1,1         ,1         ,"",0.0126,<0>  ,0.0352,<0>  ,"","","","",0.0285,<1> (CHB) ,3.9,<0>  ,
"wqbmpnut  ","P",09/25/2017 6:45,0,1,1         ,2         ,"",0.0117,<0>  ,0.039,<0>  ,"","","","",0.0175,<1> (CHB) ,4.2,<0>  ,
"wqbmpnut  ","P",10/11/2017 7:15,0,1,1         ,1         ,"",0.013,<0>  ,0.0224,<0>  ,"","","","",0.0168,<0>  ,6.4,<0>  ,
"wqbmpnut  ","P",10/11/2017 7:19,0,1,1         ,2         ,"",0.0146,<0>  ,0.0146,<0>  ,"","","","",0.0102,<0>  ,6.0,<0>  ,
"wqbmpnut  ","P",11/14/2017 12:20,0,1,1         ,1         ,"",0.0115,<0>  ,0.0184,<0>  ,"","","","",0.0245,<1> (CHB) ,2.3,<0>  ,
"wqbmpnut  ","P",11/14/2017 12:24,0,1,1         ,2         ,"",0.0107,<0>  ,0.0184,<0>  ,"","","","",0.0241,<1> (CHB) ,2.3,<0>  ,
"wqbmpnut  ","P",12/12/2017 10:06,0,1,1         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,"",<-2> (CSM) ,
"wqbmpnut  ","P",12/12/2017 10:10,0,1,1         ,2         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"","","","","",<-2> (CSM) ,"",<-2> (CSM) ,

