"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"grbsqnut  ","P",05/11/2020 9:35,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {SE} {WS1}",0.019,<0>  ,0.057,<1> (CHB) ,"","","","",0.147,<1> (CHB) ,5.6,<0>  ,
"grbsqnut  ","P",05/11/2020 9:36,0,1,1         ,2         ,"{CSP} {PNP} {TSE} {WH0} {SE} {WS1}",0.019,<0>  ,0.053,<1> (CHB) ,"","","","",0.142,<1> (CHB) ,4.7,<0>  ,
"grbsqnut  ","P",05/11/2020 9:37,0,1,1         ,3         ,"{CSP} {PNP} {TSE} {WH0} {SE} {WS1}",0.019,<0>  ,0.053,<1> (CHB) ,"","","","",0.154,<1> (CHB) ,5.3,<0>  ,
"grbsqnut  ","P",06/09/2020 9:15,0,1,1         ,1         ,"{CPB} {PNP} {TSE} {WH0} {SW} {WS1}",0.021,<1> (CHB) ,0.165,<0>  ,"","","","",0.099,<1> (CHB) ,3.0,<0>  ,
"grbsqnut  ","P",07/07/2020 8:21,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {SW} {WS0}",0.038,<1> (CHB) ,0.132,<1> (CHB) ,"","","","",0.056,<1> (CHB) ,7.0,<0>  ,
"grbsqnut  ","P",08/24/2020 9:50,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {W} {WS1}",0.058,<1> (CHB) ,0.09,<0>  ,"","","","",0.055,<1> (CHB) ,6.8,<0>  ,
"grbsqnut  ","P",09/21/2020 9:22,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {N} {WS1}",0.046,<0>  ,0.101,<0>  ,"","","","",0.023,<1> (CHB) ,5.6,<0>  ,
"grbsqnut  ","P",10/19/2020 8:00,0,1,1         ,1         ,"{CSP} {PNP} {TSE} {WH0} {WS0}",0.058,<0>  ,0.142,<0>  ,"","","","",0.158,<0>  ,3.4,<0>  ,
"grbsqnut  ","P",11/02/2020 7:38,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {N} {WS1}",0.059,<0>  ,0.13,<0>  ,"","","","",0.19,<0>  ,2.7,<0>  ,
"grbsqnut  ","P",12/07/2020 11:30,0,1,1         ,1         ,"{CCL} {PNP} {TSE} {WH0} {W} {WS1}",0.016,<0>  ,0.026,<0>  ,"","","","",0.158,<0>  ,2.6,<0>  ,
"grbsqnut  ","P",12/07/2020 11:31,0,1,1         ,2         ,"{CCL} {PNP} {TSE} {WH0} {W} {WS1}",0.035,<0>  ,0.024,<0>  ,"","","","",0.158,<0>  ,2.4,<0>  ,
"grbsqnut  ","P",12/07/2020 11:32,0,1,1         ,3         ,"{CCL} {PNP} {TSE} {WH0} {W} {WS1}",0.018,<0>  ,0.021,<0>  ,"","","","",0.156,<0>  ,2.8,<0>  ,

