"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"wqbslnut  ","P",01/05/2016 13:30,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",01/05/2016 13:35,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",02/02/2016 11:00,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",02/02/2016 11:05,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",03/01/2016 11:00,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",03/01/2016 11:05,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",04/13/2016 10:00,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",04/13/2016 10:05,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"wqbslnut  ","P",05/11/2016 10:01,1,1,1         ,1         ,"",0.0070,<0>  ,0.028,<0>  ,"","","","",0.022,<0>  ,1.4,<0>  ,
"wqbslnut  ","P",05/11/2016 10:05,1,1,1         ,2         ,"",0.0070,<0>  ,0.025,<0>  ,"","","","",0.025,<0>  ,1.4,<0>  ,
"wqbslnut  ","P",06/14/2016 13:43,1,1,1         ,1         ,"",0.0030,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.0020,<1> (CHB) ,2.0,<0>  ,
"wqbslnut  ","P",06/14/2016 13:46,1,1,1         ,2         ,"",0.0030,<-4> [SBL] ,0.012,<0>  ,"","","","",0.0060,<1> (CHB) ,1.8,<0>  ,
"wqbslnut  ","P",07/12/2016 11:28,1,1,1         ,1         ,"",0.0060,<0>  ,0.015,<0>  ,"","","","",0.0040,<1> (CHB) ,3.9,<0>  ,
"wqbslnut  ","P",07/12/2016 11:32,1,1,1         ,2         ,"",0.0060,<0>  ,0.018,<0>  ,"","","","",0.0060,<1> (CHB) ,3.4,<0>  ,
"wqbslnut  ","P",08/09/2016 10:30,1,1,1         ,1         ,"",0.025,<0>  ,0.012,<0>  ,"","","","",0.0010,<1> (CHB) ,4.9,<0>  ,
"wqbslnut  ","P",08/09/2016 10:32,1,1,1         ,2         ,"",0.025,<0>  ,0.012,<0>  ,"","","","",0.0030,<1> (CHB) ,4.8,<0>  ,
"wqbslnut  ","P",09/07/2016 10:19,1,1,1         ,1         ,"",0.014,<0>  ,0.0080,<0>  ,"","","","",0.0060,<1> (CHB) ,5.5,<0>  ,
"wqbslnut  ","P",09/07/2016 10:21,1,1,1         ,2         ,"",0.016,<0>  ,0.0080,<0>  ,"","","","",0.0020,<1> (CHB) ,6.0,<0>  ,
"wqbslnut  ","P",10/11/2016 12:48,1,1,1         ,1         ,"",0.016,<0>  ,0.0080,<0>  ,"","","","",0.0010,<-4> [SBL] (CHB) ,9.0,<0>  ,
"wqbslnut  ","P",10/11/2016 12:52,1,1,1         ,2         ,"",0.013,<0>  ,0.01,<0>  ,"","","","",0.0010,<-4> [SBL] (CHB) ,11.7,<0>  ,
"wqbslnut  ","P",11/08/2016 12:05,1,1,1         ,1         ,"",0.0060,<0>  ,0.013,<0>  ,"","","","",0.0020,<0>  ,2.6,<0>  ,
"wqbslnut  ","P",11/08/2016 12:09,1,1,1         ,2         ,"",0.0060,<0>  ,0.014,<0>  ,"","","","",0.0040,<0>  ,2.6,<0>  ,
"wqbslnut  ","P",12/07/2016 11:36,1,1,1         ,1         ,"",0.0060,<0>  ,0.0050,<0>  ,"","","","",0.0050,<0>  ,1.2,<0>  ,
"wqbslnut  ","P",12/07/2016 11:40,1,1,1         ,2         ,"",0.0050,<0>  ,0.0050,<0>  ,"","","","",0.0050,<0>  ,1.1,<0>  ,

